none	0	0	37.61	NA	NA
eagle3	1	0	45.28	1.48	0.49
eagle3	2	0	33.09	1.58	0.29
eagle3	3	0	31.83	1.64	0.21
eagle3	4	0	30.12	1.66	0.17
eagle3	5	0	28.29	1.66	0.13
